employee_id,name,age,gender,department,position,education,years_at_company,salary,performance_score,satisfaction_score,training_hours,projects_completed,absences_days,attrition,hire_date,city,remote_work,salary_band,tenure_group,engagement_index
EMP0095,Kristin Mills,28,Female,Engineering,Senior,PhD,1.0,92427.57,3.0,3,44.0,24,0,0,2018-09-06,Angelaside,1,Mid,New (<2y),3.0
EMP0096,Mark Turner,30,Female,Finance,Manager,Bachelor,0.0,104561.35,3.0,2,25.0,16,8,0,2007-12-15,Danamouth,0,Upper-Mid,New (<2y),2.5
EMP0097,Samantha Stephens,29,Female,IT,Senior,Unknown,0.0,89612.58,3.0,3,21.0,8,11,0,2024-06-08,Vanessashire,0,Mid,New (<2y),3.0
EMP0099,Kevin Christian DVM,55,Unknown,Finance,Director,High School,12.0,55823.64,4.0,4,57.0,14,21,0,2008-11-10,Port Samuel,0,Lower-Mid,Veteran (10y+),4.0
EMP0100,Michael Watson,54,Non-binary,IT,Mid-level,High School,0.0,80295.43,5.0,3,62.0,29,12,0,2009-06-26,Collinsside,0,Mid,New (<2y),4.0
EMP0101,Donna Ortiz,44,Female,Legal,Senior,Bachelor,12.0,54493.97,2.0,4,119.0,6,6,0,2020-04-10,Connieville,0,Lower-Mid,Veteran (10y+),3.0
EMP0103,Tyler Sanders,58,Male,IT,Director,PhD,6.0,33993.33,4.0,2,64.0,22,12,0,2020-01-10,New Peter,1,Entry,Experienced (5-10y),3.0
EMP0104,Malik Thornton,56,Female,IT,Mid-level,PhD,1.0,34186.04,2.0,3,43.0,18,10,0,2018-06-01,Turnerville,0,Entry,New (<2y),2.5
EMP0105,Hannah Cooper,61,Female,Marketing,Manager,Bachelor,5.0,70223.81,1.0,5,99.0,29,8,0,2017-04-08,Jennifershire,0,Mid,Growing (2-5y),3.0
EMP0106,Katherine Adams,43,Non-binary,Legal,Senior,High School,6.0,61289.01,4.0,4,42.0,2,24,0,2016-07-27,West Jennifer,1,Lower-Mid,Experienced (5-10y),4.0
EMP0107,Dr. Shane Brown,48,Male,IT,Mid-level,PhD,13.0,77669.68,4.0,3,36.0,28,23,0,2026-05-14,South Carlamouth,0,Mid,Veteran (10y+),3.5
EMP0108,Colin Green,56,Female,Legal,Manager,Master,17.0,71630.79,3.0,3,65.0,26,15,0,2018-07-23,Georgeburgh,1,Mid,Veteran (10y+),3.0
EMP0109,Evelyn Turner,22,Male,Operations,Senior,Bachelor,14.0,75754.77,3.0,2,16.0,0,9,0,2025-04-27,Jonathanhaven,0,Mid,Veteran (10y+),2.5
EMP0110,Bryce Bender,56,Non-binary,Legal,Senior,Master,1.0,90215.19,3.0,5,39.0,3,10,0,2026-01-29,Kennethfurt,0,Mid,New (<2y),4.0
EMP0111,Dave Willis,58,Unknown,HR,Manager,Master,9.0,63418.28,1.0,4,37.0,27,11,0,2019-01-07,North Kevin,1,Lower-Mid,Experienced (5-10y),2.5
EMP0113,Deborah Fox,24,Male,Marketing,Mid-level,Unknown,16.0,111375.53,2.0,4,60.0,25,18,0,2016-03-20,East Brianbury,1,Upper-Mid,Veteran (10y+),3.0
EMP0114,Michelle Gomez,22,Female,Marketing,Senior,Bachelor,7.0,75077.1,2.0,2,8.0,7,11,0,2022-10-02,Alexisview,0,Mid,Experienced (5-10y),2.0
EMP0115,Austin Jordan,26,Male,Marketing,Manager,Unknown,10.0,70519.74,5.0,5,76.0,18,17,1,2010-09-19,Port Tammyfort,0,Mid,Experienced (5-10y),5.0
EMP0116,Whitney Friedman,47,Female,Marketing,Senior,PhD,2.0,77062.82,3.0,2,74.0,22,20,1,2024-01-21,Port Megan,1,Mid,New (<2y),2.5
EMP0117,Kelly Moore,35,Non-binary,IT,Manager,PhD,5.0,70965.89,4.0,4,60.0,22,16,0,2022-12-30,Lake Johnnychester,0,Mid,Growing (2-5y),4.0
EMP0118,Rose Clark,60,Female,Marketing,Senior,Bachelor,8.0,57260.69,3.0,2,79.0,27,2,0,2011-03-09,South Jacob,1,Lower-Mid,Experienced (5-10y),2.5
EMP0119,Hannah Estrada,48,Female,Legal,Junior,High School,5.0,50049.25,3.0,4,15.0,24,0,0,2013-12-22,Richardport,0,Lower-Mid,Growing (2-5y),3.5
EMP0120,Anthony Campbell,30,Unknown,HR,Director,PhD,8.0,55914.22,3.0,4,1.0,5,18,0,2021-11-02,Harrisonmouth,1,Lower-Mid,Experienced (5-10y),3.5
EMP0121,Sarah Diaz,36,Unknown,Engineering,Mid-level,PhD,6.0,96822.98,2.0,4,105.0,0,3,0,2008-05-06,Taylortown,1,Mid,Experienced (5-10y),3.0
EMP0122,Jason Campbell,36,Female,Engineering,Director,Unknown,8.0,59252.37,2.0,4,107.0,7,22,1,2026-01-07,New Amanda,0,Lower-Mid,Experienced (5-10y),3.0
EMP0123,Mark Acosta,47,Unknown,Marketing,Director,PhD,17.0,71126.88,4.0,5,71.0,0,15,0,2023-10-02,Port Rachelfort,1,Mid,Veteran (10y+),4.5
EMP0124,Lindsay Morris,34,Female,Engineering,Mid-level,High School,11.0,92518.41,4.0,1,42.0,18,11,0,2014-06-28,East Robertfort,1,Mid,Veteran (10y+),2.5
EMP0125,Alexandra Rodriguez,53,Non-binary,Engineering,Director,PhD,7.0,68040.22,3.0,3,41.0,10,20,0,2023-04-12,Port Justinhaven,0,Lower-Mid,Experienced (5-10y),3.0
EMP0126,Alison Duncan,60,Female,Legal,Junior,PhD,7.0,90834.03,3.0,2,76.0,20,20,0,2025-01-12,Michaelton,1,Mid,Experienced (5-10y),2.5
EMP0128,Kenneth Thomas,25,Female,IT,Mid-level,High School,19.0,71687.08,2.0,3,80.0,24,16,1,2024-09-09,Karenfort,0,Mid,Veteran (10y+),2.5
EMP0129,Mr. Alexander Lewis,51,Male,Legal,Manager,PhD,14.0,76972.4,3.0,4,102.0,14,7,0,2023-10-09,New Brittany,0,Mid,Veteran (10y+),3.5
EMP0130,Sonya Cantrell,58,Male,IT,Senior,High School,6.0,75578.47,3.0,4,87.0,22,12,0,2009-09-21,Craneborough,0,Mid,Experienced (5-10y),3.5
EMP0131,Justin Williams,44,Non-binary,Engineering,Junior,High School,10.0,33677.03,4.0,2,66.0,24,19,0,2015-07-12,Bushfurt,0,Entry,Experienced (5-10y),3.0
EMP0132,Anthony Marsh,60,Female,Operations,Manager,PhD,19.0,105077.82,5.0,2,29.0,10,4,0,2024-11-12,North Josephshire,1,Upper-Mid,Veteran (10y+),3.5
EMP0133,Brooke Fry,36,Male,Marketing,Manager,PhD,15.0,53633.18,3.0,3,115.0,18,17,0,2025-12-08,West Shawn,0,Lower-Mid,Veteran (10y+),3.0
EMP0134,Scott Henson,50,Unknown,Operations,Mid-level,High School,3.0,83375.93,5.0,3,12.0,28,14,0,2013-03-21,Port Heather,1,Mid,Growing (2-5y),4.0
EMP0135,Emily Hampton,57,Male,Legal,Senior,Unknown,5.0,75199.11,4.0,2,18.0,20,11,0,2013-06-14,Dunnburgh,0,Mid,Growing (2-5y),3.0
EMP0136,Rhonda Marsh,34,Unknown,Marketing,Mid-level,Unknown,2.0,100092.74,3.0,1,6.0,9,16,0,2019-08-09,South Carrietown,0,Upper-Mid,New (<2y),2.0
EMP0137,Christine Torres,53,Non-binary,Marketing,Senior,High School,8.0,129687.22,3.0,5,8.0,23,24,0,2008-04-24,East Paulborough,1,Upper-Mid,Experienced (5-10y),4.0
EMP0138,David Luna,28,Female,Engineering,Mid-level,High School,9.0,42740.89,3.0,5,82.0,11,14,0,2023-01-01,South Jennifer,0,Lower-Mid,Experienced (5-10y),4.0
EMP0139,Samantha Rodriguez,43,Female,Finance,Manager,Unknown,13.0,58777.15,5.0,3,108.0,0,1,1,2012-09-24,South Shawnport,0,Lower-Mid,Veteran (10y+),4.0
EMP0140,Benjamin Pena,49,Male,HR,Manager,Unknown,10.0,79727.31,2.0,3,53.0,23,5,1,2015-11-21,Maciasmouth,0,Mid,Experienced (5-10y),2.5
EMP0142,Melissa Perkins,27,Male,Finance,Manager,Unknown,11.0,94554.57,3.0,4,85.0,16,15,0,2011-10-22,Pachecomouth,0,Mid,Veteran (10y+),3.5
EMP0143,Jason Johnson,49,Male,Marketing,Director,Unknown,11.0,96084.32,4.0,4,81.0,28,16,0,2018-09-25,Lake Allen,1,Mid,Veteran (10y+),4.0
EMP0144,Robert Hall,49,Male,Legal,Manager,Bachelor,12.0,88986.23,3.0,2,60.0,28,24,0,2014-06-03,Cassandrahaven,0,Mid,Veteran (10y+),2.5
EMP0145,Krista Baker,41,Female,Engineering,Director,PhD,12.0,80914.54,4.0,2,86.0,25,19,0,2023-03-05,South Joshuastad,1,Mid,Veteran (10y+),3.0
EMP0146,Christy Smith,51,Female,Legal,Manager,Master,18.0,109242.72,4.0,4,1.0,27,8,0,2013-09-01,Danafurt,1,Upper-Mid,Veteran (10y+),4.0
EMP0147,Sabrina Neal,32,Female,Marketing,Director,Master,18.0,46109.36,4.0,4,49.0,9,4,0,2014-08-01,North Melissa,0,Lower-Mid,Veteran (10y+),4.0
EMP0149,Anthony Little,46,Unknown,Marketing,Manager,Bachelor,3.0,56529.93,2.0,4,74.0,5,0,1,2012-06-06,Ruizborough,1,Lower-Mid,Growing (2-5y),3.0
EMP0150,Nicholas Cobb,60,Male,Finance,Director,PhD,12.0,97247.91,4.0,3,0.0,16,5,0,2021-07-12,Lake Sabrinaside,1,Mid,Veteran (10y+),3.5
EMP0151,Christina Marsh,54,Male,IT,Junior,Master,7.0,29166.47,2.0,3,32.0,17,23,0,2010-09-03,Williamsfort,0,Entry,Experienced (5-10y),2.5
EMP0152,Casey Scott,22,Unknown,Engineering,Senior,Unknown,18.0,74297.9,3.0,4,77.0,4,13,0,2007-08-27,East Aaron,0,Mid,Veteran (10y+),3.5
EMP0153,Marie Potter DDS,48,Unknown,Marketing,Director,Unknown,11.0,83380.97,3.0,4,79.0,17,16,0,2011-01-31,South Kyle,0,Mid,Veteran (10y+),3.5
EMP0154,Isaiah Davis,34,Male,Marketing,Director,Unknown,17.0,51312.7,3.0,3,10.0,29,24,1,2019-05-02,East Pamela,0,Lower-Mid,Veteran (10y+),3.0
EMP0155,Rebecca Morales,24,Unknown,Engineering,Junior,PhD,5.0,59345.25,3.0,5,32.0,25,18,0,2023-09-23,Blackberg,1,Lower-Mid,Growing (2-5y),4.0
EMP0156,Paula Horton,60,Male,Engineering,Junior,Master,17.0,75384.47,5.0,3,6.0,16,0,1,2009-02-27,Jesseville,1,Mid,Veteran (10y+),4.0
EMP0157,Alexandra Johnson,27,Non-binary,Marketing,Mid-level,PhD,18.0,98877.41,2.0,4,30.0,21,0,0,2015-06-05,North Jeffreyfort,0,Mid,Veteran (10y+),3.0
EMP0158,Brittany Lopez,29,Male,Operations,Senior,High School,4.0,49178.27,4.0,3,47.0,15,12,0,2006-09-26,Glenberg,1,Lower-Mid,Growing (2-5y),3.5
EMP0159,Jason Harrison,48,Male,Engineering,Mid-level,High School,8.0,53538.75,3.0,5,109.0,7,13,0,2016-08-14,West Kristenbury,1,Lower-Mid,Experienced (5-10y),4.0
EMP0160,James Crawford,30,Female,HR,Director,Bachelor,2.0,103139.69,2.0,5,46.0,23,5,0,2023-03-06,Barnesmouth,0,Upper-Mid,New (<2y),3.5
EMP0161,Jeffrey Lopez,58,Female,Operations,Junior,High School,9.0,68175.62,2.0,2,77.0,12,5,0,2014-09-20,Lake Jeffreyborough,0,Lower-Mid,Experienced (5-10y),2.0
EMP0162,Robin Smith,54,Male,Operations,Director,Master,18.0,55561.52,5.0,5,91.0,28,0,0,2026-01-28,Cooperport,1,Lower-Mid,Veteran (10y+),5.0
EMP0163,Destiny Johnson,45,Female,Legal,Manager,Master,2.0,93217.12,5.0,4,52.0,23,13,0,2020-04-26,Oconnorton,1,Mid,New (<2y),4.5
EMP0164,Christopher Ferrell,36,Male,Legal,Senior,Master,14.0,62795.08,5.0,4,106.0,15,2,0,2010-03-18,Watkinsville,1,Lower-Mid,Veteran (10y+),4.5
EMP0165,Angelica Nelson,53,Non-binary,Engineering,Manager,Unknown,0.0,100685.54,5.0,2,79.0,10,22,0,2009-10-12,Brucefurt,0,Upper-Mid,New (<2y),3.5
EMP0166,Erica Lewis,53,Female,HR,Junior,Unknown,6.0,58406.99,3.0,4,18.0,5,9,1,2009-12-25,Sabrinabury,0,Lower-Mid,Experienced (5-10y),3.5
EMP0167,Frank Valdez,45,Non-binary,HR,Junior,Master,11.0,71010.14,3.0,5,80.0,26,18,0,2023-01-21,Danielmouth,0,Mid,Veteran (10y+),4.0
EMP0168,Terry Williams,33,Male,Marketing,Junior,High School,16.0,98624.29,4.0,3,89.0,2,18,0,2012-06-12,Lake Bobbymouth,1,Mid,Veteran (10y+),3.5
EMP0169,Dr. Jason Brown,60,Non-binary,IT,Senior,High School,19.0,69343.48,3.0,5,5.0,0,18,0,2010-12-18,Harrisstad,1,Lower-Mid,Veteran (10y+),4.0
EMP0170,Kathryn Reeves,23,Unknown,Marketing,Mid-level,Bachelor,4.0,93901.33,3.0,1,106.0,17,22,1,2025-06-22,Turnerville,0,Mid,Growing (2-5y),2.0
EMP0172,Kayla Rios,58,Unknown,Engineering,Director,Bachelor,11.0,124542.3,4.0,3,72.0,12,19,0,2013-03-30,Reyesburgh,1,Upper-Mid,Veteran (10y+),3.5
EMP0173,Shawn Irwin,38,Male,Marketing,Director,PhD,19.0,114219.47,4.0,4,49.0,9,18,0,2024-10-07,North Kimberlyshire,1,Upper-Mid,Veteran (10y+),4.0
EMP0174,Jaclyn Atkins,23,Female,Engineering,Director,High School,17.0,41797.59,2.0,4,80.0,4,9,0,2020-09-13,North Wanda,1,Lower-Mid,Veteran (10y+),3.0
EMP0175,Jessica Gibson,23,Female,Finance,Director,Master,16.0,88056.09,3.0,1,94.0,25,24,1,2011-03-22,Lake Ryan,0,Mid,Veteran (10y+),2.0
EMP0176,Kara Romero,49,Non-binary,IT,Mid-level,Unknown,18.0,54589.9,4.0,5,11.0,13,1,1,2022-03-05,Fieldsborough,1,Lower-Mid,Veteran (10y+),4.5
EMP0177,James Harmon,44,Male,IT,Manager,Bachelor,8.0,79787.67,4.0,1,22.0,16,3,1,2025-03-08,Smithstad,0,Mid,Experienced (5-10y),2.5
EMP0179,Phillip Russo,53,Male,Legal,Manager,High School,1.0,48615.32,4.0,1,117.0,24,5,0,2009-04-03,Laurenmouth,1,Lower-Mid,New (<2y),2.5
EMP0180,Dr. Aimee Castillo DDS,54,Male,HR,Manager,PhD,3.0,101462.11,1.0,4,68.0,1,6,1,2010-12-07,Port Hannahside,1,Upper-Mid,Growing (2-5y),2.5
