employee_id,name,age,gender,department,position,education,years_at_company,salary,performance_score,satisfaction_score,training_hours,projects_completed,absences_days,attrition,hire_date,city,remote_work
EMP0034,Katelyn Barnes,42.0,M,Marketing,Mid-level,High School,16.0,29381.89882748152,3.0,3,50.0,18,19,0,2022-05-04,Lake Jonathonmouth,0
EMP0035,Dennis Quinn,30.0,Non-binary,Engineering,Junior,Bachelor,11.0,70703.4253384177,1.0,2,26.0,1,7,0,2010-10-18,Brooksmouth,0
EMP0036,Ruth Ortiz,60.0,Male,HR,Mid-level,Bachelor,17.0,47295.88672022996,4.0,2,85.0,8,7,0,2022-07-23,Port Paulborough,1
EMP0037,Sean Briggs,39.0,Female,Engineering,Manager,Master,14.0,,4.0,1,73.0,11,7,0,2018-08-21,North Pamela,1
EMP0038,Isaac Jones,25.0,F,Legal,Manager,Master,11.0,133354.089503176,4.0,5,60.0,1,7,0,2012-07-17,Derekton,1
EMP0039,Mark Schneider,46.0,,Finance,Director,PhD,15.0,82296.54405000038,3.0,2,57.0,5,0,0,2014-05-06,Melindafort,0
EMP0040,Carl Dunn,35.0,Non-binary,MARKETING,Director,,7.0,97486.62427870615,4.0,2,30.0,4,1,0,2019-08-17,Stephenville,1
EMP0041,Matthew Miller,30.0,Non-binary,Legal,Director,Master,13.0,124017.28180402616,4.0,4,90.0,29,11,0,2022-03-26,Whitneyland,1
EMP0042,Kyle Garza,47.0,Female,Engineering,Manager,High School,16.0,103183.95607936896,4.0,3,11.0,4,14,0,2023-01-04,West Samantha,0
EMP0043,Aaron Black,23.0,Female,HR,Junior,Master,7.0,63802.138007825386,4.0,3,45.0,19,3,0,2017-08-18,Jessicaview,0
EMP0044,Billy Lane,41.0,Non-binary,Operations,Junior,Master,14.0,43104.19783575155,4.0,2,30.0,21,24,0,2010-12-21,West Jason,0
EMP0045,Emily White,49.0,Male,Engineering,Junior,Bachelor,13.0,-3537.8848123708835,4.0,5,31.0,4,2,0,2026-03-12,West Kellytown,0
EMP0046,Jennifer Stein,28.0,Male,HR,Senior,High School,17.0,60807.35539453286,3.0,5,31.0,26,13,0,2018-04-29,New Grant,1
EMP0047,Allen Torres,29.0,,IT,Director,PhD,19.0,441692.02536476706,5.0,5,104.0,3,21,0,2010-12-19,West Kennethville,0
EMP0048,Lisa Allen,56.0,Male,eng,Junior,PhD,6.0,81023.12493223672,3.0,3,108.0,28,22,1,2016-03-20,Erikatown,1
EMP0049,Mark Sutton,35.0,Non-binary,Marketing,Director,PhD,2.0,81647.15745148332,4.0,4,98.0,8,7,0,2022-07-17,New Erika,1
EMP0050,Amber Hernandez,38.0,Non-binary,Marketing,Director,Master,11.0,119227.91750658216,3.0,2,52.0,28,12,1,2008-11-10,Obrienhaven,0
EMP0051,Karen Coleman,57.0,M,,Senior,PhD,2.0,65955.92327907965,4.0,1,60.0,21,22,0,2024-12-30,West Valerie,1
EMP0052,Andrea Lopez,61.0,Non-binary,,Manager,PhD,19.0,82003.03472423623,4.0,1,45.0,26,18,0,2025-01-08,South Walterfurt,0
EMP0053,Michelle Velasquez,25.0,Male,Legal,Junior,PhD,13.0,58362.86463274462,2.0,4,84.0,9,21,0,2007-04-29,South Benjaminview,0
EMP0054,Ronald Lee,23.0,F,eng,Senior,Bachelor,14.0,96829.23576733665,2.0,3,73.0,15,4,0,2007-08-12,Lake Emily,0
EMP0055,Amanda Hernandez,27.0,,MARKETING,Manager,High School,,71884.55509524676,4.0,3,79.0,9,12,1,2011-02-08,North Amberfort,0
EMP0056,Mark Bentley,25.0,M,Marketing,Manager,Bachelor,6.0,45685.209778681434,4.0,1,6.0,28,19,0,2020-07-09,West Amanda,0
EMP0057,Amy Smith,50.0,Male,,Junior,High School,16.0,74663.20445837105,3.0,3,3.0,9,0,0,2026-04-10,Davidstad,0
EMP0058,Jessica Rowe,39.0,,eng,Director,Bachelor,11.0,-3103.7431323779515,3.0,4,90.0,28,15,0,2013-07-04,Harrisonborough,0
EMP0059,Keith Pope,47.0,Male,Finance,Mid-level,High School,19.0,81381.83468533907,4.0,3,51.0,18,22,1,2006-11-01,North Scott,0
EMP0060,Melissa Thomas,55.0,M,MARKETING,Director,PhD,3.0,101147.41788739673,2.0,4,118.0,9,23,0,2024-09-25,Nelsonland,1
EMP0061,Michael Walters,31.0,Non-binary,Engineering,Director,,8.0,38798.59069898276,3.0,2,88.0,5,1,0,2009-10-12,North Amandaside,0
EMP0062,Sandy Johnston,57.0,F,eng,Mid-level,PhD,5.0,53931.43524962646,2.0,4,30.0,29,6,0,2018-12-26,Davisbury,1
EMP0063,Patrick White,35.0,M,Operations,Manager,,15.0,90994.68329488843,2.0,4,74.0,16,5,0,2009-05-27,West Margaret,0
EMP0064,Ronald Ramirez,52.0,Non-binary,,Mid-level,PhD,1.0,56868.275550973216,3.0,2,111.0,4,4,0,2013-04-28,Erinberg,1
EMP0065,Vickie Hill,36.0,M,Engineering,Mid-level,Bachelor,7.0,81011.78123325517,3.0,2,83.0,25,3,1,2008-05-21,Fieldsport,0
EMP0066,Matthew Castillo,29.0,Female,Engineering,Senior,,10.0,14506.368814705937,2.0,4,35.0,5,1,0,2014-11-07,Fowlerside,1
EMP0067,Matthew Robinson,35.0,F,,Senior,PhD,12.0,142898.66430782207,3.0,4,53.0,26,9,0,2011-03-29,New Teresa,0
EMP0068,Ryan Johnson,44.0,Male,IT,Senior,Master,16.0,,3.0,3,53.0,23,21,0,2010-12-25,North Sherry,1
EMP0069,Travis Patel,,Male,IT,Manager,,7.0,104848.90649970695,3.0,2,118.0,26,4,0,2014-06-28,Karenville,0
EMP0070,Amber Anthony,42.0,F,Marketing,Mid-level,High School,17.0,66577.55436041272,3.0,5,16.0,14,17,0,2018-09-22,Gloverfurt,0
EMP0071,Brian Ramsey,37.0,Female,,Junior,Bachelor,17.0,85367.46321827217,4.0,4,108.0,24,9,1,2024-11-23,New Paultown,1
EMP0072,Kayla Roberts,39.0,Non-binary,,Mid-level,PhD,13.0,112297.9911586318,2.0,3,74.0,26,22,0,2014-08-24,Amymouth,0
EMP0073,Claudia Young,45.0,Male,Marketing,Manager,PhD,14.0,104145.15048020963,3.0,3,29.0,18,21,1,2009-01-21,East Andrew,0
EMP0074,Alicia Richards,47.0,Female,Marketing,Senior,High School,,69888.62550786938,2.0,2,98.0,17,14,0,2009-12-10,Brandonbury,0
EMP0075,Eric Duarte,46.0,Male,Legal,Manager,PhD,10.0,71618.64186515768,2.0,4,104.0,28,8,0,2019-10-05,Smithville,1
EMP0076,Tammy Coffey,50.0,,MARKETING,Senior,PhD,12.0,100089.16400458213,4.0,3,101.0,3,10,0,2009-12-04,Kevinburgh,1
EMP0077,Sean Watts,36.0,Non-binary,HR,Manager,High School,0.0,133331.11010713252,4.0,5,21.0,7,20,0,2014-08-18,Wardburgh,0
EMP0078,Susan Ford,22.0,,Marketing,Junior,High School,5.0,79807.06685997602,5.0,3,116.0,26,24,0,2016-11-25,West Meganshire,1
EMP0079,Maria Burns,46.0,F,HR,Senior,Master,8.0,123926.59101354104,4.0,3,42.0,15,24,0,2008-03-18,Keithview,0
EMP0080,Daniel Walker,28.0,Non-binary,Operations,Senior,Master,7.0,68964.63973949484,5.0,4,111.0,23,16,0,2009-07-20,North Michelle,0
EMP0081,Kenneth Parker,30.0,Female,MARKETING,Mid-level,High School,10.0,98799.00908774504,1.0,5,114.0,18,20,0,2007-12-13,New Rachaelland,1
EMP0082,Lisa Powell,45.0,Non-binary,MARKETING,Manager,,18.0,102528.89405618217,2.0,4,26.0,19,8,1,2016-07-09,Matthewport,1
EMP0083,Heidi Davis,22.0,Non-binary,eng,Director,,8.0,64750.987403680665,1.0,3,36.0,2,22,0,2010-03-24,Hughesmouth,1
EMP0084,Steven Ball,29.0,Female,Legal,Director,,16.0,56323.04801745896,,4,45.0,9,15,1,2007-06-25,Medinaview,0
EMP0085,Elizabeth Roberts,45.0,F,IT,Mid-level,Bachelor,11.0,103634.72971368382,3.0,4,112.0,1,5,0,2021-01-20,Port Robert,0
EMP0086,Sherry Johnson,32.0,Non-binary,MARKETING,Manager,Master,13.0,61711.076568923585,4.0,3,34.0,3,21,0,2018-10-05,Ellisville,0
EMP0087,Rachel Farmer,38.0,F,eng,Junior,,14.0,52641.252183114935,1.0,2,3.0,5,10,0,2018-10-09,South Christopher,0
EMP0088,Chris Castillo,29.0,F,Operations,Mid-level,,15.0,57901.012455022574,5.0,3,79.0,10,22,0,2023-10-29,West Jermaine,0
EMP0089,Thomas Brown,56.0,F,,Senior,,19.0,61609.666539364705,4.0,2,79.0,13,16,0,2023-12-05,Kimberlyview,1
EMP0090,Timothy Mcfarland,56.0,Male,eng,Junior,High School,0.0,,3.0,5,84.0,15,3,0,2025-04-21,Webbfort,1
EMP0091,James Freeman,54.0,M,MARKETING,Manager,PhD,9.0,87876.0668319047,2.0,3,25.0,26,14,0,2023-11-08,Ashleyburgh,0
EMP0092,Susan Moore,26.0,F,IT,Senior,Bachelor,7.0,92891.45611894727,2.0,5,99.0,20,0,0,2021-08-31,Johnland,0
EMP0093,Andrew Gray,60.0,Female,Marketing,Director,PhD,17.0,85534.49527745206,2.0,3,18.0,18,21,0,2023-06-27,West Jennifer,1
EMP0094,Barry Nash,49.0,M,Marketing,Manager,Master,0.0,60153.99594383403,2.0,4,80.0,1,19,0,2024-01-19,Andersonstad,0
EMP0095,Kristin Mills,28.0,F,eng,Senior,PhD,1.0,92427.57139770681,3.0,3,44.0,24,0,0,2018-09-06,Angelaside,1
EMP0096,Mark Turner,30.0,Female,Finance,Manager,Bachelor,0.0,104561.3456651326,3.0,2,25.0,16,8,0,2007-12-15,Danamouth,0
EMP0097,Samantha Stephens,29.0,Female,IT,Senior,,0.0,89612.58040298273,3.0,3,21.0,8,11,0,2024-06-08,Vanessashire,0
EMP0098,Pedro Browning,33.0,,,Manager,,8.0,86241.39766564626,5.0,2,118.0,16,3,0,2009-01-26,North Susanhaven,1
EMP0099,Kevin Christian DVM,55.0,,Finance,Director,High School,12.0,55823.63733573309,4.0,4,57.0,14,21,0,2008-11-10,Port Samuel,0
EMP0100,Michael Watson,54.0,Non-binary,IT,Mid-level,High School,0.0,80295.42697436195,5.0,3,62.0,29,12,0,2009-06-26,Collinsside,0
EMP0101,Donna Ortiz,44.0,F,Legal,Senior,Bachelor,12.0,54493.96676378246,2.0,4,119.0,6,6,0,2020-04-10,Connieville,0
EMP0102,Wayne Jackson,45.0,F,,Senior,,19.0,74399.3035479849,3.0,2,27.0,21,7,0,2007-09-21,Kimberlyview,1
EMP0103,Tyler Sanders,58.0,M,IT,Director,PhD,6.0,33993.3340193671,4.0,2,64.0,22,12,0,2020-01-10,New Peter,1
EMP0104,Malik Thornton,56.0,Female,IT,Mid-level,PhD,1.0,34186.03992519767,2.0,3,43.0,18,10,0,2018-06-01,Turnerville,0
EMP0105,Hannah Cooper,61.0,F,Marketing,Manager,Bachelor,5.0,70223.80775132425,1.0,5,99.0,29,8,0,2017-04-08,Jennifershire,0
EMP0106,Katherine Adams,43.0,Non-binary,Legal,Senior,High School,6.0,61289.008204325255,4.0,4,42.0,2,24,0,2016-07-27,West Jennifer,1
EMP0107,Dr. Shane Brown,48.0,Male,IT,Mid-level,PhD,13.0,77669.67983685434,4.0,3,36.0,28,23,0,2026-05-14,South Carlamouth,0
EMP0108,Colin Green,56.0,Female,Legal,Manager,Master,17.0,71630.78552212202,3.0,3,65.0,26,15,0,2018-07-23,Georgeburgh,1
EMP0109,Evelyn Turner,22.0,Male,Operations,Senior,Bachelor,14.0,75754.76968025387,3.0,2,16.0,0,9,0,2025-04-27,Jonathanhaven,0
EMP0110,Bryce Bender,56.0,Non-binary,Legal,Senior,Master,1.0,90215.18605891851,3.0,5,39.0,3,10,0,2026-01-29,Kennethfurt,0
EMP0111,Dave Willis,58.0,,HR,Manager,Master,9.0,63418.276108479185,1.0,4,37.0,27,11,0,2019-01-07,North Kevin,1
EMP0112,Melissa Jordan,35.0,Non-binary,,Director,High School,11.0,69513.90470887843,3.0,3,84.0,17,13,0,2020-06-25,West Alex,0
EMP0113,Deborah Fox,24.0,Male,Marketing,Mid-level,,16.0,111375.5305690791,2.0,4,60.0,25,18,0,2016-03-20,East Brianbury,1
EMP0114,Michelle Gomez,22.0,Female,Marketing,Senior,Bachelor,7.0,75077.10317062568,2.0,2,8.0,7,11,0,2022-10-02,Alexisview,0
EMP0115,Austin Jordan,26.0,M,Marketing,Manager,,10.0,70519.73813436528,5.0,5,76.0,18,17,1,2010-09-19,Port Tammyfort,0
EMP0116,Whitney Friedman,47.0,F,Marketing,Senior,PhD,2.0,77062.81748307974,,2,74.0,22,20,1,2024-01-21,Port Megan,1
EMP0117,Kelly Moore,35.0,Non-binary,IT,Manager,PhD,5.0,70965.89067476174,4.0,4,60.0,22,16,0,2022-12-30,Lake Johnnychester,0
EMP0118,Rose Clark,60.0,Female,Marketing,Senior,Bachelor,8.0,57260.69267616938,3.0,2,79.0,27,2,0,2011-03-09,South Jacob,1
EMP0119,Hannah Estrada,48.0,F,Legal,Junior,High School,5.0,50049.25407050699,3.0,4,15.0,24,0,0,2013-12-22,Richardport,0
EMP0120,Anthony Campbell,30.0,,HR,Director,PhD,8.0,55914.21649624988,3.0,4,1.0,5,18,0,2021-11-02,Harrisonmouth,1
EMP0121,Sarah Diaz,36.0,,eng,Mid-level,PhD,6.0,96822.97966926967,2.0,4,105.0,0,3,0,2008-05-06,Taylortown,1
EMP0122,Jason Campbell,36.0,F,Engineering,Director,,8.0,59252.368632039696,2.0,4,107.0,7,22,1,2026-01-07,New Amanda,0
EMP0123,Mark Acosta,47.0,,MARKETING,Director,PhD,17.0,71126.88495409308,4.0,5,71.0,0,15,0,2023-10-02,Port Rachelfort,1
EMP0124,Lindsay Morris,34.0,Female,eng,Mid-level,High School,11.0,92518.40712832243,4.0,1,42.0,18,11,0,2014-06-28,East Robertfort,1
EMP0125,Alexandra Rodriguez,53.0,Non-binary,eng,Director,PhD,7.0,68040.22072972554,3.0,3,41.0,10,20,0,2023-04-12,Port Justinhaven,0
EMP0126,Alison Duncan,60.0,Female,Legal,Junior,PhD,7.0,90834.03287109132,3.0,2,76.0,20,20,0,2025-01-12,Michaelton,1
EMP0127,Patricia Bright,8.0,Female,Marketing,Manager,Master,17.0,,5.0,5,56.0,23,12,1,2021-11-30,Andrewsshire,1
EMP0128,Kenneth Thomas,25.0,F,IT,Mid-level,High School,19.0,71687.08301145259,2.0,3,80.0,24,16,1,2024-09-09,Karenfort,0
EMP0129,Mr. Alexander Lewis,51.0,M,Legal,Manager,PhD,14.0,76972.40241496272,3.0,4,102.0,14,7,0,2023-10-09,New Brittany,0
EMP0130,Sonya Cantrell,58.0,M,IT,Senior,High School,6.0,75578.46807745419,3.0,4,87.0,22,12,0,2009-09-21,Craneborough,0
EMP0131,Justin Williams,44.0,Non-binary,Engineering,Junior,High School,10.0,33677.0325540279,4.0,2,66.0,24,19,0,2015-07-12,Bushfurt,0
EMP0132,Anthony Marsh,60.0,F,Operations,Manager,PhD,19.0,105077.8161607701,5.0,2,29.0,10,4,0,2024-11-12,North Josephshire,1
EMP0133,Brooke Fry,36.0,M,MARKETING,Manager,PhD,15.0,53633.17637571458,3.0,3,115.0,18,17,0,2025-12-08,West Shawn,0
EMP0134,Scott Henson,50.0,,Operations,Mid-level,High School,3.0,83375.92813156168,5.0,3,12.0,28,14,0,2013-03-21,Port Heather,1
EMP0135,Emily Hampton,57.0,M,Legal,Senior,,5.0,75199.10706618326,4.0,2,18.0,20,11,0,2013-06-14,Dunnburgh,0
EMP0136,Rhonda Marsh,34.0,,Marketing,Mid-level,,2.0,100092.73809526695,3.0,1,6.0,9,16,0,2019-08-09,South Carrietown,0
EMP0137,Christine Torres,53.0,Non-binary,MARKETING,Senior,High School,8.0,129687.22073435516,3.0,5,8.0,23,24,0,2008-04-24,East Paulborough,1
EMP0138,David Luna,28.0,Female,eng,Mid-level,High School,9.0,42740.887886429104,3.0,5,82.0,11,14,0,2023-01-01,South Jennifer,0
EMP0139,Samantha Rodriguez,43.0,Female,Finance,Manager,,13.0,58777.152968187525,5.0,3,108.0,0,1,1,2012-09-24,South Shawnport,0
EMP0140,Benjamin Pena,49.0,M,HR,Manager,,10.0,79727.3123459763,2.0,3,53.0,23,5,1,2015-11-21,Maciasmouth,0
EMP0141,Elizabeth Brown,23.0,,,Junior,Master,17.0,47366.16706118021,4.0,1,103.0,6,16,1,2011-06-05,North Wandaton,0
EMP0142,Melissa Perkins,27.0,Male,Finance,Manager,,11.0,94554.56519889401,3.0,4,85.0,16,15,0,2011-10-22,Pachecomouth,0
EMP0143,Jason Johnson,49.0,Male,Marketing,Director,,11.0,96084.31555392646,4.0,4,81.0,28,16,0,2018-09-25,Lake Allen,1
EMP0144,Robert Hall,49.0,Male,Legal,Manager,Bachelor,12.0,88986.22689987592,3.0,2,60.0,28,24,0,2014-06-03,Cassandrahaven,0
EMP0145,Krista Baker,41.0,Female,eng,Director,PhD,12.0,80914.54377190494,4.0,2,86.0,25,19,0,2023-03-05,South Joshuastad,1
EMP0146,Christy Smith,51.0,F,Legal,Manager,Master,18.0,109242.71944924453,4.0,4,1.0,27,8,0,2013-09-01,Danafurt,1
EMP0147,Sabrina Neal,32.0,Female,Marketing,Director,Master,18.0,46109.36295827845,4.0,4,49.0,9,4,0,2014-08-01,North Melissa,0
EMP0148,Alicia Castillo,49.0,F,Operations,Director,High School,13.0,,5.0,1,113.0,27,22,0,2008-07-06,Smithhaven,0
EMP0149,Anthony Little,46.0,,MARKETING,Manager,Bachelor,3.0,56529.92828174446,2.0,4,74.0,5,0,1,2012-06-06,Ruizborough,1
EMP0150,Nicholas Cobb,60.0,M,Finance,Director,PhD,12.0,97247.90831412922,4.0,3,,16,5,0,2021-07-12,Lake Sabrinaside,1
EMP0151,Christina Marsh,54.0,Male,IT,Junior,Master,7.0,29166.47088733918,2.0,3,32.0,17,23,0,2010-09-03,Williamsfort,0
EMP0152,Casey Scott,22.0,,eng,Senior,,18.0,74297.9033601755,3.0,4,77.0,4,13,0,2007-08-27,East Aaron,0
EMP0153,Marie Potter DDS,48.0,,MARKETING,Director,,11.0,83380.96717674872,3.0,4,79.0,17,16,0,2011-01-31,South Kyle,0
EMP0154,Isaiah Davis,34.0,M,MARKETING,Director,,17.0,51312.69662565563,3.0,3,10.0,29,24,1,2019-05-02,East Pamela,0
EMP0155,Rebecca Morales,24.0,,eng,Junior,PhD,5.0,59345.249194460834,3.0,5,32.0,25,18,0,2023-09-23,Blackberg,1
EMP0156,Paula Horton,60.0,M,Engineering,Junior,Master,17.0,75384.47453430264,5.0,3,6.0,16,0,1,2009-02-27,Jesseville,1
EMP0157,Alexandra Johnson,27.0,Non-binary,MARKETING,Mid-level,PhD,18.0,98877.40948603691,2.0,4,30.0,21,0,0,2015-06-05,North Jeffreyfort,0
EMP0158,Brittany Lopez,29.0,M,Operations,Senior,High School,4.0,49178.26928532365,4.0,3,47.0,15,12,0,2006-09-26,Glenberg,1
EMP0159,Jason Harrison,48.0,Male,Engineering,Mid-level,High School,8.0,53538.75149063285,3.0,5,109.0,7,13,0,2016-08-14,West Kristenbury,1
EMP0160,James Crawford,30.0,F,HR,Director,Bachelor,2.0,103139.6942760086,2.0,5,46.0,23,5,0,2023-03-06,Barnesmouth,0
EMP0161,Jeffrey Lopez,58.0,F,Operations,Junior,High School,9.0,68175.61500200412,2.0,2,77.0,12,5,0,2014-09-20,Lake Jeffreyborough,0
EMP0162,Robin Smith,54.0,Male,Operations,Director,Master,18.0,55561.52400387556,5.0,5,91.0,28,0,0,2026-01-28,Cooperport,1
EMP0163,Destiny Johnson,45.0,F,Legal,Manager,Master,2.0,93217.1199304229,5.0,4,52.0,23,13,0,2020-04-26,Oconnorton,1
EMP0164,Christopher Ferrell,36.0,M,Legal,Senior,Master,14.0,62795.07506919383,5.0,4,106.0,15,2,0,2010-03-18,Watkinsville,1
EMP0165,Angelica Nelson,53.0,Non-binary,Engineering,Manager,,0.0,100685.53838346935,5.0,2,79.0,10,22,0,2009-10-12,Brucefurt,0
EMP0166,Erica Lewis,53.0,F,HR,Junior,,6.0,58406.990575507196,3.0,4,18.0,5,9,1,2009-12-25,Sabrinabury,0
EMP0167,Frank Valdez,45.0,Non-binary,HR,Junior,Master,11.0,71010.1359543751,3.0,5,80.0,26,18,0,2023-01-21,Danielmouth,0
EMP0168,Terry Williams,33.0,Male,MARKETING,Junior,High School,16.0,98624.29163471829,4.0,3,89.0,2,18,0,2012-06-12,Lake Bobbymouth,1
EMP0169,Dr. Jason Brown,60.0,Non-binary,IT,Senior,High School,19.0,69343.47822065621,3.0,5,5.0,0,18,0,2010-12-18,Harrisstad,1
EMP0170,Kathryn Reeves,23.0,,Marketing,Mid-level,Bachelor,4.0,93901.33305196615,3.0,1,106.0,17,22,1,2025-06-22,Turnerville,0
EMP0171,Sara Baker,114.0,Female,HR,Director,PhD,3.0,73361.30983047487,3.0,2,48.0,4,3,1,2008-07-02,Christiemouth,1
EMP0172,Kayla Rios,58.0,,Engineering,Director,Bachelor,11.0,124542.29516000074,4.0,3,72.0,12,19,0,2013-03-30,Reyesburgh,1
EMP0173,Shawn Irwin,38.0,Male,Marketing,Director,PhD,19.0,114219.46510257122,4.0,4,49.0,9,18,0,2024-10-07,North Kimberlyshire,1
EMP0174,Jaclyn Atkins,23.0,F,eng,Director,High School,17.0,41797.5934391563,2.0,4,80.0,4,9,0,2020-09-13,North Wanda,1
EMP0175,Jessica Gibson,23.0,F,Finance,Director,Master,16.0,88056.09203120024,3.0,1,94.0,25,24,1,2011-03-22,Lake Ryan,0
EMP0176,Kara Romero,49.0,Non-binary,IT,Mid-level,,18.0,54589.90034747396,4.0,5,11.0,13,1,1,2022-03-05,Fieldsborough,1
EMP0177,James Harmon,44.0,M,IT,Manager,Bachelor,8.0,79787.67346981827,4.0,1,22.0,16,3,1,2025-03-08,Smithstad,0
EMP0178,Anita Tyler,58.0,Female,,Senior,Bachelor,3.0,76709.26573275652,3.0,2,53.0,0,23,0,2025-10-30,Jessicafurt,0
EMP0179,Phillip Russo,53.0,M,Legal,Manager,High School,1.0,48615.32457268781,4.0,1,117.0,24,5,0,2009-04-03,Laurenmouth,1
EMP0180,Dr. Aimee Castillo DDS,54.0,Male,HR,Manager,PhD,3.0,101462.11358825811,1.0,4,68.0,1,6,1,2010-12-07,Port Hannahside,1
EMP0181,David Richardson,22.0,F,Legal,Director,Bachelor,1.0,80082.57358922687,3.0,5,106.0,6,15,0,2024-07-10,Vazquezville,0
